parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
xi_b_Rp8_Br_cAMPS	\xi_{b,Rp8,Br,cAMPS}	log10	0.00001	100000	0.0199656372950011	1	parameterScaleNormal	-1.39;0.278	parameterScaleNormal	0;3
xi_b_Rp8_pCPT_cAMPS	\xi_{b,Rp8,pCPT,cAMPS}	log10	0.00001	100000	0.0140642299705524	1	parameterScaleNormal	-1.57;0.315	parameterScaleNormal	0;3
xi_b_Rp_cAMPS	\xi_{b,Rp,cAMPS}	log10	0.00001	100000	0.353008149450576	1	parameterScaleNormal	-0.22;0.044	parameterScaleNormal	0;3
xi_b_Sp8_Br_cAMPS	\xi_{b,Sp8,Br,cAMPS}	log10	0.00001	100000	12.4378001708656	1	parameterScaleNormal	1.33;0.267	parameterScaleNormal	0;3
xi_kf_RII_2__RII_C_2	\xi_{kf_RII_2,RII_C_2}	log10	0.00001	1	0.018046226312628	1	parameterScaleNormal	-1.72;0.345	parameterScaleNormal	-1.742435698117109;0.1
xi_kf_RII_C_2__RII_2	\xi_{kf_RII_C_2,RII_2}	log10	0.00001	100000	0.83124637249909	1	parameterScaleNormal	-0.09;0.018	parameterScaleNormal	-0.062147906748844;0.1
xi_rel_open	\xi_{rel,open}	log10	0.00001	1	0.912140378704282	1	parameterScaleNormal	-0.13;0.025		
kf_DAMGO	kf_DAMGO	log10	0.00001	100000	7.58978606393102	1				
KD_DAMGO	KD_DAMGO	log10	0.00001	1000	0.927065363277799	1				
kf_Fentanyl	kf_Fentanyl	log10	0.00001	100000	2.55006088409356	1				
KD_Fentanyl	KD_Fentanyl	log10	0.00001	1000	0.0446060442571065	1				
kf_5HT	kf_5HT	log10	0.00001	100000	99999.9999999949	1				
KD_5HT	KD_5HT	log10	0.00001	1000	0.0111394962473081	1				
kdeg_DAMGO	kdeg_DAMGO	log10	0.00001	1000	0.0337465977670274	1				
kdeg_Fentanyl	kdeg_Fentanyl	log10	0.00001	1000	0.0107448998080837	1				
kdeg_5HT	kdeg_5HT	log10	0.00001	1000	0.0176880330535427	1				
