parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
xi_KD_Rp8_pCPT_cAMPS	\xi_{KD,Rp8,pCPT,cAMPS}	log10	0.00001	100000	0.333378364789097	1	parameterScaleNormal	-0.71;0.142	parameterScaleNormal	0;3
xi_KD_Rp_cAMPS	\xi_{KD,Rp,cAMPS}	log10	0.00001	100000	0.193938792659093	1	parameterScaleNormal	-0.79;0.158	parameterScaleNormal	0;3
xi_KD_Sp8_Br_cAMPS	\xi_{KD,Sp8,Br,cAMPS}	log10	0.00001	100000	0.166035681788786	1	parameterScaleNormal	-0.65;0.13	parameterScaleNormal	0;3
xi_b_Rp8_Br_cAMPS	\xi_{b,Rp8,Br,cAMPS}	log10	0.00001	100000	0.0200121663353326	1	parameterScaleNormal	-1.39;0.278	parameterScaleNormal	0;3
xi_b_Rp8_pCPT_cAMPS	\xi_{b,Rp8,pCPT,cAMPS}	log10	0.00001	100000	0.0141121208527628	1	parameterScaleNormal	-1.57;0.315	parameterScaleNormal	0;3
xi_b_Rp_cAMPS	\xi_{b,Rp,cAMPS}	log10	0.00001	100000	0.355019892119366	1	parameterScaleNormal	-0.22;0.044	parameterScaleNormal	0;3
xi_b_Sp8_Br_cAMPS	\xi_{b,Sp8,Br,cAMPS}	log10	0.00001	100000	12.0240024234137	1	parameterScaleNormal	1.33;0.267	parameterScaleNormal	0;3
xi_kf_RII_2__RII_C_2	\xi_{kf_RII_2,RII_C_2}	log10	0.00001	1	0.0180476407247337	1	parameterScaleNormal	-1.72;0.345	parameterScaleNormal	-1.742435698117109;0.1
xi_kf_RII_C_2__RII_2	\xi_{kf_RII_C_2,RII_2}	log10	0.00001	100000	0.831166904668327	1	parameterScaleNormal	-0.09;0.018	parameterScaleNormal	-0.062147906748844;0.1
xi_rel_open	\xi_{rel,open}	log10	0.00001	1	0.910634012435884	1	parameterScaleNormal	-0.13;0.025		
kf_DAMGO	kf_DAMGO	log10	0.00001	100000	7.25458552546852	1				
KD_DAMGO	KD_DAMGO	log10	0.00001	1000	0.93444322966252	1				
kf_Fentanyl	kf_Fentanyl	log10	0.00001	100000	2.47632617778687	1				
KD_Fentanyl	KD_Fentanyl	log10	0.00001	1000	0.0451218691465322	1				
kf_5HT	kf_5HT	log10	0.00001	100000	99999.9999999949	1				
KD_5HT	KD_5HT	log10	0.00001	1000	0.0111147239763714	1				
kdeg_DAMGO	kdeg_DAMGO	log10	0.00001	1000	0.033855079654866	1				
kdeg_Fentanyl	kdeg_Fentanyl	log10	0.00001	1000	0.0107592571255517	1				
kdeg_5HT	kdeg_5HT	log10	0.00001	1000	0.0176713119297394	1				
kf_alphaI_GDP__betaI_gammaI____alphaI_betaI_gammaI	kf_alphaI_GDP__betaI_gammaI____alphaI_betaI_gammaI	log10	0.00001	100000	34596.4746973756	1				
kf_alphaS_GDP__betaS_gammaS____alphaS_betaS_gammaS	kf_alphaS_GDP__betaS_gammaS____alphaS_betaS_gammaS	log10	0.00001	1000	0.0122681365820565	1				
kf_alphaS_betaS_gammaS	kf_alphaS_betaS_gammaS	log10	0.00001	1000	0.000851593008870734	1				
xi_alphaS_betaS_gammaS__fiveHT4_5HT	xi_alphaS_betaS_gammaS__fiveHT4_5HT	log10	0.00001	100000	181.240291251424	1				
kf_alphaI_betaI_gammaI	kf_alphaI_betaI_gammaI	log10	0.00001	1000	0.0678958852683803	1				
xi_alphaI_betaI_gammaI__MOR_DAMGO	xi_alphaI_betaI_gammaI__MOR_DAMGO	log10	0.00001	10000	2755.24029798197	1				
xi_alphaI_betaI_gammaI__MOR_Fentanyl	xi_alphaI_betaI_gammaI__MOR_Fentanyl	log10	0.00001	10000	2527.36281544257	1				
kf_alphaS_GTP__alphaS_GDP	kf_alphaS_GTP__alphaS_GDP	log10	0.00001	10000	37.3849866209473	1				
kf_alphaI_GTP__alphaI_GDP	kf_alphaI_GTP__alphaI_GDP	log10	0.00001	100000	8211.30894684716	1				
kf_AC_alphaI_GTP	kf_AC_alphaI_GTP	log10	0.00001	100000	1.10303864657137	1				
KD_AC_alphaI_GTP	KD_AC_alphaI_GTP	log10	0.00001	100000	875.571890252914	1				
kf_AC_alphaS_GTP	kf_AC_alphaS_GTP	log10	0.00001	100000	84611.5994279964	1				
KD_AC_alphaS_GTP	KD_AC_alphaS_GTP	log10	0.00001	10000	0.566059996368277	1				
xi_AC_cAMP_alphaS_GTP	xi_AC_cAMP_alphaS_GTP	log10	0.00001	100000	99996.5215040275	1				
s_pRII_LK041_39_MOR_Kinetic_Fentanyl_Fsk	s_pRII_LK041_39_MOR_Kinetic_Fentanyl_Fsk	log10	0.001	1000	1.05280604302054	1			parameterScaleNormal	0;0.1
s_pRII_LK023_21_MOR_Kinetik_DAMGO_Fsk	s_pRII_LK023_21_MOR_Kinetik_DAMGO_Fsk	log10	0.001	1000	1.07894848781749	1			parameterScaleNormal	0;0.1
s_pRII_LK15_150810_LK053_52_047_46_MOR_Kinetic_Fentanyl_5HT	s_pRII_LK15_150810_LK053_52_047_46_MOR_Kinetic_Fentanyl_5HT	log10	0.001	1000	1.06861242100914	1			parameterScaleNormal	0;0.1
s_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	s_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	log10	0.001	1000	1.67886514498188	1			parameterScaleNormal	0;0.1
s_pRII_LK020_18_LK014_12_MOR_Kinetik_DAMGO_5HT	s_pRII_LK020_18_LK014_12_MOR_Kinetik_DAMGO_5HT	log10	0.001	1000	1.05531884364106	1			parameterScaleNormal	0;0.1
s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	log10	0.001	1000	1.11872607741844	1			parameterScaleNormal	0;0.1
b_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	b_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	log10	0.00001	1	0.000103453803031452	1				
xi_alphaI_betaI_gammaI__RIIp_cAMP	xi_alphaI_betaI_gammaI__RIIp_cAMP	log10	0.00001	100000	1.6682850702807E-05	1				
