conditionId	conditionName	Fsk_level	Fsk_time	H89_level	H89_time	IBMX_level	IBMX_time	Rp8_Br_cAMPS_pAB_level	Rp8_Br_cAMPS_pAB_time	Rp8_pCPT_cAMPS_pAB_level	Rp8_pCPT_cAMPS_pAB_time	Rp_cAMPS_pAB_level	Rp_cAMPS_pAB_time	Sp8_Br_cAMPS_AM_level	Sp8_Br_cAMPS_AM_time	fourABnOH_level	fourABnOH_time	Fentanyl_level	Fentanyl_time	DAMGO_level	DAMGO_time	fiveHT_level	fiveHT_time
model1_data6	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	0	0	0	0	0	0
model1_data7	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_1	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_2	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_3	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_4	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_5	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_6	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_7	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_8	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data7_9	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8_1	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8_2	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8_3	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8_4	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8_5	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8_6	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data8_7	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data9	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data9_1	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data9_2	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data9_3	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data9_4	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data9_5	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data10	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data10_1	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data10_2	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data10_3	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data11	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data12	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	10	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_1	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	0.5	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_2	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_3	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_4	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_5	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_6	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_7	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_8	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0
model1_data13_9	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0	0	0	0	0	0	0
